service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2017/05/01 04:00:00+00,Bus,Bus,7945266,361148,22,8817889,284448,31,231
2017/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2674877,121585,22,2814199,90781,31,232
2017/05/01 04:00:00+00,Rail,Green Line,4038854,183584,22,4975702.79,160507,31,233
2017/05/01 04:00:00+00,Rail,Orange Line,4659776,211808,22,5475147.72,176618,31,234
2017/05/01 04:00:00+00,Rail,Red Line,5727275,260331,22,6744238.7,217556,31,235
2017/05/01 04:00:00+00,Bus,Silver Line,777612,35346,22,650810,20994,31,236
2017/05/01 04:00:00+00,The RIDE,The RIDE,154184,7008,22,181906,5868,31,237
2017/06/01 04:00:00+00,Rail,Blue Line,1550598,70482,22,1903550.2,63452,30,238
2017/06/01 04:00:00+00,Ferry,Boat-F1,47836,2174,22,,,30,239
2017/06/01 04:00:00+00,Ferry,Boat-F3,34252,1557,22,,,30,240
2017/06/01 04:00:00+00,Ferry,Boat-F4,36868,1676,22,,,30,241
2017/06/01 04:00:00+00,Bus,Bus,7767119,353051,22,8478556,282619,30,242
2017/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2779103,126323,22,2907036,96901,30,243
2017/06/01 04:00:00+00,Rail,Green Line,4161011,189137,22,5088512.49,169617,30,244
2017/06/01 04:00:00+00,Rail,Orange Line,4672258,212375,22,5485035.09,182835,30,245
2017/06/01 04:00:00+00,Rail,Red Line,5740125,260915,22,6734743.2,224491,30,246
2017/06/01 04:00:00+00,Bus,Silver Line,766039,34820,22,682274,22742,30,247
2017/06/01 04:00:00+00,The RIDE,The RIDE,148220,6737,22,173629,5788,30,248
2017/07/01 04:00:00+00,Ferry,Boat-F3,35222,1761,20,,,31,249
2017/07/01 04:00:00+00,Ferry,Boat-F4,30236,1512,20,,,31,250
2018/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2196400,115600,19,2368814,78960,30,251
2018/09/01 04:00:00+00,Ferry,Ferry,127167,6693,19,143096,4770,30,252
2018/09/01 04:00:00+00,Rail,Green Line,3775272,198699,19,5086612,169554,30,253
2018/09/01 04:00:00+00,Rail,Orange Line,4010994,211105,19,4949573,164986,30,254
2018/09/01 04:00:00+00,Rail,Red Line,5051807,265885,19,6277034,209234,30,255
2018/09/01 04:00:00+00,Bus,Silver Line,703816,37043,19,933496,31117,30,256
2018/09/01 04:00:00+00,The RIDE,The RIDE,115938,6102,19,152111,5070,30,257
2018/10/01 04:00:00+00,Rail,Blue Line,1602965,69694,23,1900843,61318,31,258
2018/10/01 04:00:00+00,Bus,Bus,8486193,368964,23,9665944,311805,31,259
2018/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2803355,121885,23,2822675,91054,31,260
2018/10/01 04:00:00+00,Ferry,Ferry,138989,6043,23,141487,4564,31,261
2018/10/01 04:00:00+00,Rail,Green Line,4615929,200693,23,5543461,178821,31,262
2018/10/01 04:00:00+00,Rail,Orange Line,4940089,214786,23,5581553,180050,31,263
2018/10/01 04:00:00+00,Rail,Red Line,6199732,269554,23,7087303,228623,31,264
2018/10/01 04:00:00+00,Bus,Silver Line,879936,38258,23,1032751,33315,31,265
2018/10/01 04:00:00+00,The RIDE,The RIDE,144141,6267,23,167413,5400,31,266
2018/11/01 04:00:00+00,Rail,Blue Line,1364516,64977,21,1658350,55278,30,267
2018/11/01 04:00:00+00,Bus,Bus,7337003,349382,21,8531719,284390,30,268
2018/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2551332,121492,21,2593497,86450,30,269
2018/11/01 04:00:00+00,Ferry,Ferry,106344,5064,21,106346,3545,30,270
2018/11/01 04:00:00+00,Rail,Green Line,3860535,183835,21,4710656,157022,30,271
2018/11/01 04:00:00+00,Rail,Orange Line,4236739,201749,21,4950758,165025,30,272
2018/11/01 04:00:00+00,Rail,Red Line,5305597,252647,21,6120446,204015,30,273
2018/11/01 04:00:00+00,Bus,Silver Line,798509,38024,21,965165,32172,30,274
2018/11/01 04:00:00+00,The RIDE,The RIDE,130303,6205,21,157104,5237,30,275
2018/12/01 05:00:00+00,Rail,Blue Line,1190476,59524,20,1534083,49487,31,276
2018/12/01 05:00:00+00,Bus,Bus,6369331,318466,20,7813360,252043,31,277
2018/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2425720,121286,20,2503021,80743,31,278
2018/12/01 05:00:00+00,Ferry,Ferry,89680,4484,20,89666,2892,31,279
2018/12/01 05:00:00+00,Rail,Green Line,3248487,162424,20,4190922,135191,31,280
2018/12/01 05:00:00+00,Rail,Orange Line,3601484,180074,20,4457194,143780,31,281
2018/12/01 05:00:00+00,Rail,Red Line,4451265,222563,20,5414553,174663,31,282
2018/12/01 05:00:00+00,Bus,Silver Line,659334,32967,20,848093,27358,31,283
2018/12/01 05:00:00+00,The RIDE,The RIDE,115000,5750,20,150696,4861,31,284
2019/01/01 05:00:00+00,Rail,Blue Line,1278062,60860,21,1606484,51822,31,285
2019/01/01 05:00:00+00,Bus,Bus,7128485,339452,21,8251367,266173,31,286
2019/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2536128,120768,21,2705418,87272,31,287
2019/01/01 05:00:00+00,Ferry,Ferry,96936,4616,21,101561,3276,31,288
2019/01/01 05:00:00+00,Rail,Green Line,3539303,168538,21,4442494,143306,31,289
2019/01/01 05:00:00+00,Rail,Orange Line,4018096,191338,21,4825535,155662,31,290
2019/01/01 05:00:00+00,Rail,Red Line,4977090,237004,21,5934838,191446,31,291
2019/01/01 05:00:00+00,Bus,Silver Line,728626,34696,21,911709,29410,31,292
2019/01/01 05:00:00+00,The RIDE,The RIDE,119049,5669,21,150235,4846,31,293
2019/02/01 05:00:00+00,Rail,Blue Line,1188179,62536,19,1474714,52668,28,294
2019/02/01 05:00:00+00,Bus,Bus,6564028,345475,19,7725803,275922,28,295
2019/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2318133,122007,19,2384857,85173,28,296
2019/02/01 05:00:00+00,Ferry,Ferry,87685,4615,19,94082,3360,28,297
2019/02/01 05:00:00+00,Rail,Green Line,3427318,180385,19,4278179,152792,28,298
2019/02/01 05:00:00+00,Rail,Orange Line,3750436,197391,19,4478618,159951,28,299
2019/02/01 05:00:00+00,Rail,Red Line,4758082,250425,19,5594678,199810,28,300
2016/10/01 04:00:00+00,Ferry,Boat-F3,22053,1050,21,,,31,301
2016/10/01 04:00:00+00,Ferry,Boat-F4,22379,1066,21,,,31,302
2016/10/01 04:00:00+00,Bus,Bus,7676816,383841,20,8712708,281055,31,303
2016/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2845193,135485,21,2850318,91946,31,304
2016/10/01 04:00:00+00,Rail,Green Line,4204618,200220,21,5406758.75,174412,31,305
2016/10/01 04:00:00+00,Rail,Orange Line,4614199,219724,21,5581443.8,180047,31,306
2016/10/01 04:00:00+00,Rail,Red Line,5620051,267621,21,6774528.1,218533,31,307
2016/10/01 04:00:00+00,Bus,Silver Line,715177,35759,20,777673,25086,31,308
2016/10/01 04:00:00+00,The RIDE,The RIDE,148136,7054,21,180972,5838,31,309
2016/10/01 04:00:00+00,Rail,Blue Line,1442037,68668,21,1822732,58798,31,310
2016/11/01 04:00:00+00,Rail,Blue Line,1381174,65770,21,1695374.6,56512,30,311
2017/11/01 04:00:00+00,Rail,Red Line,5363767,255418,21,6203772.7,206792,30,312
2016/11/01 04:00:00+00,Ferry,Boat-F1,66818,3182,21,,,30,313
2016/11/01 04:00:00+00,Ferry,Boat-F3,20214,963,21,,,30,314
2016/11/01 04:00:00+00,Ferry,Boat-F4,13222,630,21,,,30,315
2016/11/01 04:00:00+00,Bus,Bus,7403080,370154,20,8321161,277372,30,316
2016/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2760800,125491,22,2775855,92529,30,317
2016/11/01 04:00:00+00,Rail,Green Line,3999842,190469,21,4949912.35,164997,30,318
2016/11/01 04:00:00+00,Rail,Orange Line,4462162,212484,21,5257746.859999999,175258,30,319
2016/11/01 04:00:00+00,Rail,Red Line,5379346,256159,21,6283477.2,209449,30,320
2016/11/01 04:00:00+00,Bus,Silver Line,683466,34173,20,704047,23468,30,321
2016/11/01 04:00:00+00,The RIDE,The RIDE,147798,7038,21,178721,5957,30,322
2016/12/01 05:00:00+00,Rail,Blue Line,1286666,61270,21,1593364.2,51399,31,323
2016/12/01 05:00:00+00,Ferry,Boat-F1,58582,2790,21,,,31,324
2016/12/01 05:00:00+00,Ferry,Boat-F3,18851,898,21,,,31,325
2016/12/01 05:00:00+00,Ferry,Boat-F4,10447,497,21,,,31,326
2016/12/01 05:00:00+00,Bus,Bus,7119231,339011,21,7732417,249432,31,327
2016/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2732358,124198,22,2751074,88744,31,328
2016/12/01 05:00:00+00,Rail,Green Line,3668669,174699,21,4593935.7,148191,31,329
2016/12/01 05:00:00+00,Rail,Orange Line,4108977,195666,21,4904247.57,158202,31,330
2016/12/01 05:00:00+00,Rail,Red Line,4916564,234122,21,5834454.2,188208,31,331
2016/12/01 05:00:00+00,Bus,Silver Line,666184,31723,21,672813,21704,31,332
2016/12/01 05:00:00+00,The RIDE,The RIDE,145378,6923,21,178366,5754,31,333
2017/01/01 05:00:00+00,Rail,Blue Line,1233388,61669,20,1652563,50078,33,334
2017/01/01 05:00:00+00,Ferry,Boat-F1,63397,3019,21,,,33,335
2017/01/01 05:00:00+00,Ferry,Boat-F3,17594,838,21,,,33,336
2017/01/01 05:00:00+00,Ferry,Boat-F4,9486,452,21,,,33,337
2017/01/01 05:00:00+00,Bus,Bus,6857420,342871,20,8003644,242534,33,338
2017/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2530346,126517,20,2835036,85910,33,339
2017/01/01 05:00:00+00,Rail,Green Line,3522211,176111,20,4798905.68,145421,33,340
2017/01/01 05:00:00+00,Rail,Orange Line,4120364,206018,20,5256903.770000001,159300,33,341
2017/01/01 05:00:00+00,Rail,Red Line,4908606,245430,20,6248087,189336,33,342
2017/01/01 05:00:00+00,Bus,Silver Line,668607,33430,20,704132,21337,33,343
2017/01/01 05:00:00+00,The RIDE,The RIDE,139868,6993,20,171395,5194,33,344
2017/02/01 05:00:00+00,Rail,Blue Line,1162523,61185,19,1407076.5,50253,28,345
2017/02/01 05:00:00+00,Ferry,Boat-F1,48613,2431,20,,,28,346
2017/02/01 05:00:00+00,Ferry,Boat-F3,16303,815,20,,,28,347
2017/02/01 05:00:00+00,Ferry,Boat-F4,10328,516,20,,,28,348
2017/02/01 05:00:00+00,Bus,Bus,6320900,332679,19,7301412,260764,28,349
2017/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2366827,124570,19,2566103,91647,28,350
2017/02/01 05:00:00+00,Rail,Green Line,3480091,183163,19,4465770.359999999,159492,28,351
2017/11/01 04:00:00+00,Bus,Silver Line,689488,32833,21,836488,27883,30,352
2017/11/01 04:00:00+00,The RIDE,The RIDE,138249,6583,21,165945,5532,30,353
2017/12/01 05:00:00+00,Rail,Blue Line,1226618,61331,20,1551999.9,50065,31,354
2017/12/01 05:00:00+00,Ferry,Boat-F1,55481,2774,20,,,31,355
2017/12/01 05:00:00+00,Ferry,Boat-F3,18639,932,20,,,31,356
2017/12/01 05:00:00+00,Ferry,Boat-F4,10798,540,20,,,31,357
2017/12/01 05:00:00+00,Bus,Bus,6426027,321301,20,7942371,256206,31,358
2017/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2411351,120568,20,2576307,83107,31,359
2017/12/01 05:00:00+00,Rail,Green Line,3260363,163018,20,4144465.63,133692,31,360
2017/12/01 05:00:00+00,Rail,Orange Line,3801709,190085,20,4599923.78,148385,31,361
2017/12/01 05:00:00+00,Rail,Red Line,4526872,226344,20,5401888.1,174254,31,362
2017/12/01 05:00:00+00,Bus,Silver Line,612362,30618,20,773517,24952,31,363
2017/12/01 05:00:00+00,The RIDE,The RIDE,126210,6311,20,157784,5090,31,364
2018/01/01 05:00:00+00,Rail,Blue Line,1219373,58065,21,1563053.1,47365,33,365
2018/01/01 05:00:00+00,Ferry,Boat-F1,37209,1691,22,,,33,366
2018/01/01 05:00:00+00,Ferry,Boat-F3,16867,767,22,,,33,367
