service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2021/10/01 04:00:00+00,Rail,Green Line,2284689,108795,21,3047920,98320,31,736
2021/10/01 04:00:00+00,Rail,Orange Line,2246083,106956,21,2919098,94164,31,737
2021/10/01 04:00:00+00,Rail,Red Line,2676646,127459,21,3428527,110598,31,738
2021/10/01 04:00:00+00,Bus,Silver Line,505493,24071,21,656469,21176,31,739
2021/10/01 04:00:00+00,The RIDE,The RIDE,64281,3061,21,78976,2548,31,740
2021/11/01 04:00:00+00,Rail,Blue Line,806916,38425,21,1023665,34122,30,741
2021/11/01 04:00:00+00,Bus,Bus,4947040,235574,21,5877689,195923,30,742
2021/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1122143,53435,21,1316818,43894,30,743
2021/11/01 04:00:00+00,Ferry,Ferry,37799,1800,21,40721,1357,30,744
2021/11/01 04:00:00+00,Rail,Green Line,2142171,102008,21,2698728,89958,30,745
2021/11/01 04:00:00+00,Rail,Orange Line,2180304,103824,21,2695651,89855,30,746
2021/11/01 04:00:00+00,Rail,Red Line,2517633,119887,21,3063867,102129,30,747
2021/11/01 04:00:00+00,Bus,Silver Line,489273,23299,21,611697,20390,30,748
2021/11/01 04:00:00+00,The RIDE,The RIDE,59934,2854,21,74533,2484,30,749
2021/12/01 05:00:00+00,Rail,Blue Line,786707,34205,23,976287,31493,31,750
2021/01/01 05:00:00+00,Rail,Blue Line,400315,21069,19,576132,18585,31,751
2021/01/01 05:00:00+00,Bus,Bus,2638473,138867,19,3501554,112954,31,752
2021/01/01 05:00:00+00,Commuter Rail,Commuter Rail,222252,11697,19,255946,8256,31,753
2021/01/01 05:00:00+00,Ferry,Ferry,6264,330,19,6264,202,31,754
2021/01/01 05:00:00+00,Rail,Green Line,733702,38616,19,1056887,34093,31,755
2021/01/01 05:00:00+00,Rail,Orange Line,900334,47386,19,1255781,40509,31,756
2021/01/01 05:00:00+00,Rail,Red Line,1003252,52803,19,1392431,44917,31,757
2021/01/01 05:00:00+00,Bus,Silver Line,240789,12673,19,342824,11059,31,758
2021/01/01 05:00:00+00,The RIDE,The RIDE,39419,2075,19,51681,1667,31,759
2021/02/01 05:00:00+00,Rail,Blue Line,419302,22069,19,552548,19734,28,760
2021/02/01 05:00:00+00,Bus,Bus,2708986,142578,19,3423185,122257,28,761
2021/02/01 05:00:00+00,Commuter Rail,Commuter Rail,231936,12207,19,257158,9184,28,762
2021/02/01 05:00:00+00,Ferry,Ferry,4074,214,19,4074,146,28,763
2021/02/01 05:00:00+00,Rail,Green Line,814216,42853,19,1092775,39028,28,764
2021/02/01 05:00:00+00,Rail,Orange Line,949242,49960,19,1214637,43380,28,765
2021/02/01 05:00:00+00,Rail,Red Line,1054916,55522,19,1361622,48629,28,766
2021/02/01 05:00:00+00,Bus,Silver Line,246434,12970,19,328957,11748,28,767
2021/02/01 05:00:00+00,The RIDE,The RIDE,39954,2103,19,48317,1726,28,768
2021/03/01 05:00:00+00,Rail,Blue Line,559731,24336,23,690112,22262,31,769
2021/03/01 05:00:00+00,Bus,Bus,3583104,155787,23,4260481,137435,31,770
2021/03/01 05:00:00+00,Commuter Rail,Commuter Rail,311316,13535,23,348892,11255,31,771
2021/03/01 05:00:00+00,Ferry,Ferry,6920,301,23,6920,223,31,772
2021/03/01 05:00:00+00,Rail,Green Line,1078637,46897,23,1326665,42796,31,773
2021/03/01 05:00:00+00,Rail,Orange Line,1203963,52346,23,1450143,46779,31,774
2021/03/01 05:00:00+00,Rail,Red Line,1401101,60917,23,1703232,54943,31,775
2021/03/01 05:00:00+00,Bus,Silver Line,328741,14293,23,407218,13136,31,776
2021/03/01 05:00:00+00,The RIDE,The RIDE,54953,2389,23,63048,2034,31,777
2021/04/01 04:00:00+00,Rail,Blue Line,584176,26553,22,732545,24418,30,778
2021/04/01 04:00:00+00,Bus,Bus,3468676,157667,22,4315451,143848,30,779
2021/04/01 04:00:00+00,Commuter Rail,Commuter Rail,368443,16747,22,406368,13546,30,780
2021/04/01 04:00:00+00,Ferry,Ferry,8679,395,22,8679,289,30,781
2021/04/01 04:00:00+00,Rail,Green Line,1118899,50859,22,1406004,46867,30,782
2021/04/01 04:00:00+00,Rail,Orange Line,1251310,56878,22,1527832,50928,30,783
2021/04/01 04:00:00+00,Rail,Red Line,1482972,67408,22,1829137,60971,30,784
2021/04/01 04:00:00+00,Bus,Silver Line,324681,14758,22,423432,14114,30,785
2021/04/01 04:00:00+00,The RIDE,The RIDE,53632,2438,22,62512,2084,30,786
2021/05/01 04:00:00+00,Rail,Blue Line,590264,29513,20,816744,26347,31,787
2021/05/01 04:00:00+00,Bus,Bus,3635163,181758,20,4636156,149554,31,788
2021/05/01 04:00:00+00,Commuter Rail,Commuter Rail,475908,23795,20,538070,17357,31,789
2021/05/01 04:00:00+00,Ferry,Ferry,13076,654,20,13076,422,31,790
2021/05/01 04:00:00+00,Rail,Green Line,1084391,54220,20,1516471,48918,31,791
2021/05/01 04:00:00+00,Rail,Orange Line,1318475,65924,20,1775222,57265,31,792
2021/05/01 04:00:00+00,Rail,Red Line,1558519,77926,20,2084202,67232,31,793
2021/05/01 04:00:00+00,Bus,Silver Line,348164,17408,20,476610,15375,31,794
2021/05/01 04:00:00+00,The RIDE,The RIDE,52431,2622,20,64259,2073,31,795
2021/06/01 04:00:00+00,Rail,Blue Line,722199,32827,22,919406,30647,30,796
2021/06/01 04:00:00+00,Bus,Bus,4129144,187689,22,4954365,165146,30,797
2021/06/01 04:00:00+00,Commuter Rail,Commuter Rail,615247,27966,22,682581,22753,30,798
2021/06/01 04:00:00+00,Ferry,Ferry,39089,1777,22,50814,1694,30,799
2021/06/01 04:00:00+00,Rail,Green Line,1352831,61492,22,1724877,57496,30,800
2023/06/01 04:00:00+00,Rail,Orange Line,2167324,98515,22,2632186,87740,30,801
2023/06/01 04:00:00+00,Rail,Red Line,2771939,125997,22,3357977,111933,30,802
2023/06/01 04:00:00+00,Bus,Silver Line,665353,30243,22,816953,27232,30,803
2023/06/01 04:00:00+00,The RIDE,The RIDE,78100,3550,22,91741,3058,30,804
2023/07/01 04:00:00+00,Rail,Blue Line,1012119,50606,20,1418568,45760,31,805
2023/07/01 04:00:00+00,Bus,Bus,4946173,247309,20,6300653,203247,31,806
2023/07/01 04:00:00+00,Commuter Rail,Commuter Rail,1861427,93071,20,2187378,70561,31,807
2023/07/01 04:00:00+00,Ferry,Ferry,136677,6213,20,177195,5716,31,808
2023/07/01 04:00:00+00,Rail,Green Line,1889599,94480,20,2578698,83184,31,809
2023/07/01 04:00:00+00,Rail,Orange Line,1990562,99528,20,2656511,85694,31,810
2023/07/01 04:00:00+00,Rail,Red Line,2485675,124284,20,3241811,104575,31,811
2023/07/01 04:00:00+00,Bus,Silver Line,616253,30813,20,825974,26644,31,812
2023/07/01 04:00:00+00,The RIDE,The RIDE,71967,3427,20,88664,2860,31,813
2023/08/01 04:00:00+00,Rail,Blue Line,1192710,51857,23,1515024,48872,31,814
2023/08/01 04:00:00+00,Bus,Bus,5611401,243974,23,6666127,215036,31,815
2023/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2133281,92751,23,2396679,77312,31,816
2023/08/01 04:00:00+00,Ferry,Ferry,152556,6633,23,196039,6324,31,817
2023/08/01 04:00:00+00,Rail,Green Line,2064223,89749,23,2642792,85251,31,818
2023/08/01 04:00:00+00,Rail,Orange Line,2304171,100181,23,2823763,91089,31,819
2023/08/01 04:00:00+00,Rail,Red Line,2728212,118618,23,3287688,106054,31,820
2023/08/01 04:00:00+00,Bus,Silver Line,710210,30879,23,876736,28282,31,821
2023/08/01 04:00:00+00,The RIDE,The RIDE,82731,3597,23,97016,3130,31,822
2023/09/01 04:00:00+00,Rail,Blue Line,1012882,50644,20,1352023,45067,30,823
2023/09/01 04:00:00+00,Bus,Bus,5609479,280474,20,6904339,230145,30,824
2023/09/01 04:00:00+00,Commuter Rail,Commuter Rail,1825185,91259,20,2117835,70594,30,825
2023/09/01 04:00:00+00,Ferry,Ferry,102476,5124,20,120663,4022,30,826
2023/09/01 04:00:00+00,Rail,Green Line,1912538,95627,20,2596340,86545,30,827
2023/09/01 04:00:00+00,Rail,Orange Line,2173928,108696,20,2773532,92451,30,828
2023/09/01 04:00:00+00,Rail,Red Line,2614113,130706,20,3293113,109770,30,829
2023/09/01 04:00:00+00,Bus,Silver Line,637690,31884,20,835741,27858,30,830
2023/09/01 04:00:00+00,The RIDE,The RIDE,76629,3649,20,91812,3060,30,831
2023/10/01 04:00:00+00,Rail,Blue Line,1116517,50751,22,1422580,45890,31,832
2023/10/01 04:00:00+00,Bus,Bus,6041841,274629,22,7382864,238157,31,833
2023/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2160511,98205,22,2548014,82194,31,834
2023/10/01 04:00:00+00,Ferry,Ferry,110418,5019,22,121462,3918,31,835
2023/10/01 04:00:00+00,Rail,Green Line,2097097,95323,22,2720940,87772,31,836
2023/10/01 04:00:00+00,Rail,Orange Line,2500465,113657,22,3089886,99674,31,837
2023/10/01 04:00:00+00,Rail,Red Line,2683095,121959,22,3272891,105577,31,838
2023/10/01 04:00:00+00,Bus,Silver Line,679341,30879,22,881434,28433,31,839
2023/10/01 04:00:00+00,The RIDE,The RIDE,83732,3806,22,99606,3213,31,840
2023/11/01 04:00:00+00,Rail,Blue Line,1006989,47952,21,1282685,42756,30,841
2023/11/01 04:00:00+00,Bus,Bus,5628924,268044,21,6702907,223430,30,842
2023/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2084911,99281,21,2342703,78090,30,843
2023/11/01 04:00:00+00,Ferry,Ferry,82819,3944,21,87668,2922,30,844
2023/11/01 04:00:00+00,Rail,Green Line,1732501,82500,21,2269526,75651,30,845
2023/11/01 04:00:00+00,Rail,Orange Line,2274354,108303,21,2761654,92055,30,846
2023/11/01 04:00:00+00,Rail,Red Line,2479743,118083,21,2969252,98975,30,847
2023/11/01 04:00:00+00,Bus,Silver Line,638204,30391,21,808932,26964,30,848
2023/11/01 04:00:00+00,The RIDE,The RIDE,80432,3656,21,94920,3164,30,849
2023/12/01 05:00:00+00,Rail,Blue Line,879538,43977,20,1183285,38170,31,850
2023/12/01 05:00:00+00,Bus,Bus,4903999,245200,20,6201686,200054,31,851
2024/01/01 05:00:00+00,The RIDE,The RIDE,78430,3410,21,89863,2899,31,852
2023/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1877089,93854,20,2264824,73059,31,853
2023/12/01 05:00:00+00,Ferry,Ferry,57186,2859,20,59871,1931,31,854
2023/12/01 05:00:00+00,Rail,Green Line,1423481,71174,20,1923248,62040,31,855
2023/12/01 05:00:00+00,Rail,Orange Line,1985307,99265,20,2583603,83342,31,856
2023/12/01 05:00:00+00,Rail,Red Line,2155204,107760,20,2781114,89713,31,857
2023/12/01 05:00:00+00,Bus,Silver Line,566533,28327,20,769111,24810,31,858
2023/12/01 05:00:00+00,The RIDE,The RIDE,72072,3432,20,89966,2902,31,859
2024/01/01 05:00:00+00,Rail,Blue Line,892386,42495,21,1137482,36693,31,860
2024/01/01 05:00:00+00,Bus,Bus,5304374,252589,21,6414210,206910,31,861
2024/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2050154,97626,21,2356367,76012,31,862
2024/01/01 05:00:00+00,Ferry,Ferry,69553,3312,21,71528,2307,31,863
2024/01/01 05:00:00+00,Rail,Green Line,847664,40365,21,1072689,34603,31,864
2024/01/01 05:00:00+00,Rail,Orange Line,2265993,107904,21,2804924,90481,31,865
2024/01/01 05:00:00+00,Rail,Red Line,2307481,109880,21,2820630,90988,31,866
2024/01/01 05:00:00+00,Bus,Silver Line,557230,26535,21,716178,23103,31,867
2024/02/01 05:00:00+00,Rail,Blue Line,867786,43389,20,1127169,38868,29,868
2024/02/01 05:00:00+00,Bus,Bus,5325483,266274,20,6504772,224302,29,869
2024/02/01 05:00:00+00,Commuter Rail,Commuter Rail,1994039,99702,20,2291395,79014,29,870
2024/02/01 05:00:00+00,Ferry,Ferry,62982,3149,20,66611,2297,29,871
2024/02/01 05:00:00+00,Rail,Green Line,1394515,69726,20,1883810,64959,29,872
2024/02/01 05:00:00+00,Rail,Orange Line,2012491,100625,20,2498734,86163,29,873
2024/02/01 05:00:00+00,Rail,Red Line,2115585,105779,20,2610722,90025,29,874
2024/02/01 05:00:00+00,Bus,Silver Line,567882,28394,20,725807,25028,29,875
2024/02/01 05:00:00+00,The RIDE,The RIDE,75054,3574,20,88625,3056,29,876
2024/03/01 05:00:00+00,Rail,Blue Line,958314,45634,21,1259650,40634,31,877
2024/03/01 05:00:00+00,Bus,Bus,5798089,276099,21,7074289,228203,31,878
2024/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2179134,103768,21,2456987,79258,31,879
2024/03/01 05:00:00+00,Ferry,Ferry,70838,3373,21,75290,2429,31,880
2024/03/01 05:00:00+00,Rail,Green Line,1657764,78941,21,2208323,71236,31,881
2024/03/01 05:00:00+00,Rail,Orange Line,2026736,96511,21,2575085,83067,31,882
2024/03/01 05:00:00+00,Rail,Red Line,2499645,119031,21,3074332,99172,31,883
2024/03/01 05:00:00+00,Bus,Silver Line,658405,31353,21,844945,27256,31,884
2024/03/01 05:00:00+00,The RIDE,The RIDE,82089,3909,21,100148,3231,31,885
2024/04/01 04:00:00+00,Rail,Blue Line,825297,37513,22,1021698,34057,30,886
2024/04/01 04:00:00+00,Bus,Bus,5718315,259923,22,6981285,232710,30,887
2024/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2312422,105110,22,2541466,84716,30,888
2024/04/01 04:00:00+00,Ferry,Ferry,87622,3983,22,93989,3133,30,889
2024/04/01 04:00:00+00,Rail,Green Line,2055985,93454,22,2660864,88695,30,890
2024/04/01 04:00:00+00,Rail,Orange Line,2398515,109023,22,2845851,94862,30,891
2024/04/01 04:00:00+00,Rail,Red Line,2785651,126620,22,3343380,111446,30,892
2024/04/01 04:00:00+00,Bus,Silver Line,650934,29588,22,835010,27834,30,893
2024/04/01 04:00:00+00,The RIDE,The RIDE,83160,3780,22,97699,3257,30,894
2024/05/01 04:00:00+00,Rail,Blue Line,1072946,48770,22,1373447,44305,31,895
2024/05/01 04:00:00+00,Bus,Bus,6210738,282306,22,7404088,238842,31,896
2024/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2405463,109339,22,2678145,86392,31,897
2024/05/01 04:00:00+00,Ferry,Ferry,110043,5002,22,126341,4076,31,898
2024/05/01 04:00:00+00,Rail,Green Line,1994557,90662,22,2607128,84101,31,899
2024/05/01 04:00:00+00,Rail,Orange Line,2156313,98014,22,2658311,85752,31,900
2024/05/01 04:00:00+00,Rail,Red Line,2544884,115677,22,3117512,100565,31,901
2024/05/01 04:00:00+00,Bus,Silver Line,707628,32165,22,883599,28503,31,902
2024/05/01 04:00:00+00,The RIDE,The RIDE,86894,3950,22,101725,3281,31,903
2024/06/01 04:00:00+00,Rail,Blue Line,997502,49875,20,1344839,44828,30,904
2024/06/01 04:00:00+00,Bus,Bus,5181514,259076,20,6754687,225156,30,905
2024/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2159079,107954,20,2573753,85792,30,906
2024/06/01 04:00:00+00,Ferry,Ferry,120538,6027,20,160933,5364,30,907
2024/06/01 04:00:00+00,Rail,Green Line,1883716,94186,20,2582965,86099,30,908
2024/06/01 04:00:00+00,Rail,Orange Line,1739974,86999,20,2191606,73054,30,909
2024/06/01 04:00:00+00,Rail,Red Line,2501402,125070,20,3117752,103925,30,910
2024/06/01 04:00:00+00,Bus,Silver Line,624972,31249,20,854396,28480,30,911
2024/06/01 04:00:00+00,The RIDE,The RIDE,75080,3754,20,93384,3113,30,912
2024/07/01 04:00:00+00,Rail,Blue Line,1100450,50020,22,1447537,46695,31,913
2024/07/01 04:00:00+00,Bus,Bus,5827384,264881,22,7041771,227154,31,914
2024/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2407465,109430,22,2704837,87253,31,915
2024/07/01 04:00:00+00,Ferry,Ferry,156541,7116,22,204539,6598,31,916
2024/07/01 04:00:00+00,Rail,Green Line,2000887,90949,22,2577221,83136,31,917
2024/07/01 04:00:00+00,Rail,Orange Line,2276481,103476,22,2809285,90622,31,918
2024/07/01 04:00:00+00,Rail,Red Line,2302785,104672,22,2711651,87473,31,919
2024/07/01 04:00:00+00,Bus,Silver Line,703362,31971,22,880384,28399,31,920
2024/07/01 04:00:00+00,The RIDE,The RIDE,81903,3723,22,96858,3124,31,921
2024/08/01 04:00:00+00,Rail,Blue Line,935975,42544,22,1222025,39420,31,922
2024/08/01 04:00:00+00,Bus,Bus,5745304,261150,22,7028462,226725,31,923
2024/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2314957,105225,22,2634106,84971,31,924
2024/08/01 04:00:00+00,Ferry,Ferry,140866,6403,22,185238,5975,31,925
2024/08/01 04:00:00+00,Rail,Green Line,2088929,94951,22,2730848,88092,31,926
2024/08/01 04:00:00+00,Rail,Orange Line,2300519,104569,22,2722497,87822,31,927
2024/08/01 04:00:00+00,Rail,Red Line,2377570,108071,22,2955704,95345,31,928
2024/08/01 04:00:00+00,Bus,Silver Line,683452,31066,22,870265,28073,31,929
2024/08/01 04:00:00+00,The RIDE,The RIDE,80894,3677,22,97461,3144,31,930
2022/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1675246,79774,21,1913514,63784,30,931
2022/11/01 04:00:00+00,Ferry,Ferry,60994,2772,21,64684,2156,30,932
2022/11/01 04:00:00+00,Rail,Green Line,2464968,117379,21,3162598,105420,30,933
2022/11/01 04:00:00+00,Rail,Orange Line,2187460,104165,21,2706887,90230,30,934
2022/11/01 04:00:00+00,Rail,Red Line,2828740,134702,21,3455569,115186,30,935
2022/11/01 04:00:00+00,Bus,Silver Line,581329,27682,21,733218,24441,30,936
2022/11/01 04:00:00+00,The RIDE,The RIDE,72490,3295,21,84969,2832,30,937
2022/12/01 05:00:00+00,Rail,Blue Line,847989,40380,21,1096139,35359,31,938
2022/12/01 05:00:00+00,Bus,Bus,4733062,225384,21,5750635,185504,31,939
2022/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1541928,73425,21,1752446,56531,31,940
2022/12/01 05:00:00+00,Ferry,Ferry,48765,2217,21,50342,1624,31,941
2022/12/01 05:00:00+00,Rail,Green Line,2183221,103963,21,2839842,91608,31,942
2022/12/01 05:00:00+00,Rail,Orange Line,1979416,94258,21,2466131,79553,31,943
2022/12/01 05:00:00+00,Rail,Red Line,2474876,117851,21,2993597,96568,31,944
2022/12/01 05:00:00+00,Bus,Silver Line,515883,24566,21,673921,21739,31,945
2022/12/01 05:00:00+00,The RIDE,The RIDE,69212,3146,21,83404,2690,31,946
2023/01/01 05:00:00+00,Rail,Blue Line,826278,41314,20,1116134,36004,31,947
2023/01/01 05:00:00+00,Bus,Bus,4843446,242172,20,6026436,194401,31,948
2023/01/01 05:00:00+00,Commuter Rail,Commuter Rail,1640819,82041,20,1840509,59371,31,949
2023/01/01 05:00:00+00,Ferry,Ferry,53932,2451,20,57755,1863,31,950
2023/01/01 05:00:00+00,Rail,Green Line,2206401,110320,20,3019775,97412,31,951
2023/01/01 05:00:00+00,Rail,Orange Line,1971166,98558,20,2476149,79876,31,952
2023/01/01 05:00:00+00,Rail,Red Line,2472396,123620,20,3133314,101075,31,953
2023/01/01 05:00:00+00,Bus,Silver Line,505262,25263,20,675591,21793,31,954
2023/01/01 05:00:00+00,The RIDE,The RIDE,70378,3199,20,83708,2700,31,955
2023/02/01 05:00:00+00,Rail,Blue Line,820081,43162,19,1063319,37976,28,956
2023/02/01 05:00:00+00,Bus,Bus,4589920,241575,19,5592079,199717,28,957
2023/02/01 05:00:00+00,Commuter Rail,Commuter Rail,1531884,80625,19,1704568,60877,28,958
2023/02/01 05:00:00+00,Ferry,Ferry,48789,2218,19,50578,1806,28,959
2023/02/01 05:00:00+00,Rail,Green Line,2234148,117587,19,2921889,104353,28,960
2023/02/01 05:00:00+00,Rail,Orange Line,1880203,98958,19,2279401,81407,28,961
2023/02/01 05:00:00+00,Rail,Red Line,2337093,123005,19,2871170,102542,28,962
2023/02/01 05:00:00+00,Bus,Silver Line,465735,24512,19,596547,21305,28,963
2023/02/01 05:00:00+00,The RIDE,The RIDE,66080,3304,19,78197,2793,28,964
2023/03/01 05:00:00+00,Rail,Blue Line,1031519,44849,23,1269989,40967,31,965
2023/03/01 05:00:00+00,Bus,Bus,5879290,255621,23,6812317,219752,31,966
2023/03/01 05:00:00+00,Commuter Rail,Commuter Rail,1889751,82163,23,2106535,67953,31,967
2023/03/01 05:00:00+00,Ferry,Ferry,63672,2894,23,65883,2125,31,968
2023/03/01 05:00:00+00,Rail,Green Line,2664211,115835,23,3287289,106042,31,969
2023/03/01 05:00:00+00,Rail,Orange Line,2332041,101393,23,2730502,88081,31,970
2023/03/01 05:00:00+00,Rail,Red Line,2836598,123330,23,3241600,104568,31,971
2023/03/01 05:00:00+00,Bus,Silver Line,615675,26768,23,741245,23911,31,972
2023/03/01 05:00:00+00,The RIDE,The RIDE,82064,3568,23,94862,3060,31,973
2023/04/01 04:00:00+00,Rail,Blue Line,915968,45798,20,1226081,40869,30,974
2023/04/01 04:00:00+00,Bus,Bus,4952698,247635,20,6347726,211591,30,975
2023/04/01 04:00:00+00,Commuter Rail,Commuter Rail,1701832,85092,20,2075362,69179,30,976
2023/04/01 04:00:00+00,Ferry,Ferry,75162,3416,20,81549,2718,30,977
2023/04/01 04:00:00+00,Rail,Green Line,2514478,125724,20,3379047,112635,30,978
2023/04/01 04:00:00+00,Rail,Orange Line,2041560,102078,20,2530301,84343,30,979
2023/04/01 04:00:00+00,Rail,Red Line,2559602,127980,20,3141379,104713,30,980
2023/04/01 04:00:00+00,Bus,Silver Line,523782,26189,20,714204,23807,30,981
2023/04/01 04:00:00+00,The RIDE,The RIDE,70720,3536,20,87143,2905,30,982
2023/05/01 04:00:00+00,Rail,Blue Line,1062255,48284,22,1378765,44476,31,983
2023/05/01 04:00:00+00,Bus,Bus,5867238,266693,22,7017792,226380,31,984
2023/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2056788,93490,22,2318035,74775,31,985
2023/05/01 04:00:00+00,Ferry,Ferry,94646,4302,22,111263,3589,31,986
2023/05/01 04:00:00+00,Rail,Green Line,2632445,119657,22,3364296,108526,31,987
2023/05/01 04:00:00+00,Rail,Orange Line,2235069,101594,22,2752676,88796,31,988
2023/05/01 04:00:00+00,Rail,Red Line,2835398,128882,22,3391252,109395,31,989
2023/05/01 04:00:00+00,Bus,Silver Line,653041,29684,22,819313,26429,31,990
2023/05/01 04:00:00+00,The RIDE,The RIDE,81719,3553,22,95704,3087,31,991
2023/06/01 04:00:00+00,Rail,Blue Line,1083549,49252,22,1361338,45378,30,992
2023/06/01 04:00:00+00,Bus,Bus,5530092,251368,22,6506803,216893,30,993
2023/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2044565,92935,22,2288229,76274,30,994
2023/06/01 04:00:00+00,Ferry,Ferry,111753,5080,22,129884,4329,30,995
2023/06/01 04:00:00+00,Rail,Green Line,2458728,111760,22,3076007,102534,30,996
